City,Temperature,Condition,Humidity,Wind
Manjeri,27.32,broken clouds,83,2.57
Malegaon,30.19,moderate rain,66,1.22
Madhyamgram,32.97,haze,75,5.14
Machilipatnam,33.86,broken clouds,64,2.34
Lunglei,22.4,light rain,99,0.39
Loni,34.11,scattered clouds,27,6.39
Leh,16.32,overcast clouds,29,2.29
Lakhīmpur,39.84,overcast clouds,30,3.43
Kulti,35.58,overcast clouds,38,2.9
Krishnagiri,32.63,broken clouds,45,7.29
Kovilpatti,29.78,overcast clouds,61,8.43
Kottayam,27.7,light rain,82,2.23
Korba,34.32,overcast clouds,47,2.49
Koppal,26.81,overcast clouds,67,10.54
Kolhāpur,24.45,broken clouds,89,5.59
Kolār,27.39,broken clouds,54,8.1
Khurja,40.52,light rain,29,2.42
Khanna,42.58,broken clouds,18,0.81
Kavaratti,27.74,overcast clouds,84,9.97
Karwar,26.96,overcast clouds,88,5.59
Karol Bāgh,33.97,haze,52,3.09
Karīmnagar,32.16,overcast clouds,57,2.47
Kargil,22.02,overcast clouds,31,2.0
Karauli,39.95,scattered clouds,31,4.29
Karaikudi,32.77,overcast clouds,52,3.23
Kapurthala Town,45.6,clear sky,11,2.72
Kāmārhāti,32.99,haze,75,5.14
Kākināda,36.22,broken clouds,72,3.25
Kanchrapara,32.95,overcast clouds,50,6.45
Jūnāgadh,29.2,overcast clouds,77,3.3
Jīnd,41.14,broken clouds,24,5.97
Jhunjhunūn,41.79,overcast clouds,21,3.02
Jharsuguda,36.01,broken clouds,52,3.09
Jhānsi,34.99,overcast clouds,45,2.04
Jetpur,27.89,overcast clouds,70,6.71
Jaynagar Majilpur,32.87,scattered clouds,57,6.96
Jamuria,35.73,overcast clouds,34,2.69
Jamālpur,39.01,overcast clouds,35,4.22
Jālna,32.14,overcast clouds,54,4.51
Jaisalmer,44.1,clear sky,13,2.97
Jagdalpur,31.07,overcast clouds,57,2.16
Jagādhri,37.37,overcast clouds,35,4.8
Itārsi,34.45,overcast clouds,49,2.73
Ingrāj Bāzār,37.67,overcast clouds,39,2.64
Hugli,32.94,overcast clouds,50,6.71
Hosūr,28.38,broken clouds,62,7.1
Narmadapuram,35.2,overcast clouds,47,2.26
Hingoli,32.76,broken clouds,51,4.75
Hindupur,27.95,overcast clouds,56,6.53
Hindaun,40.97,broken clouds,28,1.87
Hazaribagh,33.05,overcast clouds,44,3.78
Hāthras,41.62,scattered clouds,27,1.22
Hassan,22.41,overcast clouds,85,7.67
Harihar,23.82,overcast clouds,77,7.78
Hardoī,41.32,moderate rain,27,2.08
Hanumāngarh,44.85,clear sky,12,2.47
Hālīsahar,32.92,overcast clouds,50,6.59
Hājīpur,38.97,haze,53,2.57
Hābra,32.95,overcast clouds,50,6.81
Gyānpur,28.95,light rain,31,3.04
Guna,35.53,broken clouds,41,5.21
Gudivāda,36.07,broken clouds,56,3.6
Gosāba,32.65,broken clouds,57,6.62
Gorakhpur,44.28,scattered clouds,15,3.5
Gondal,27.95,overcast clouds,69,5.74
Gondā City,40.04,overcast clouds,31,4.05
Ghazīpur,39.15,overcast clouds,33,2.43
Gaya,35.97,haze,49,4.12
Gangavati,28.77,overcast clouds,61,10.93
Gangāpur,36.94,broken clouds,39,5.89
Gāndhīdhām,26.8,overcast clouds,77,7.64
Firozpur,44.72,few clouds,13,6.36
Firozabad,39.02,broken clouds,33,1.38
Fatehpur,39.97,broken clouds,31,0.2
Farrukhābād,40.47,moderate rain,29,5.66
Faizabad,40.37,broken clouds,30,0.9
Etāwah,41.99,heavy intensity rain,27,4.19
Eluru,36.03,broken clouds,63,4.17
Dumka,38.62,overcast clouds,34,1.78
Diu,31.86,overcast clouds,64,3.29
Dimāpur,28.52,moderate rain,89,0.36
Dhule,32.76,broken clouds,57,3.53
Dhaulpur,39.3,broken clouds,33,2.63
Dharmavaram,28.41,overcast clouds,58,12.42
Dharmapuri,32.82,broken clouds,50,6.59
Deoghar,37.24,overcast clouds,36,3.16
Dehri,39.63,broken clouds,31,2.36
Davangere,23.97,overcast clouds,73,7.76
Dausa,38.93,broken clouds,32,2.33
Dinapore,38.95,haze,53,2.57
Medininagar,37.22,overcast clouds,36,3.32
Kadapa,35.01,broken clouds,41,7.2
Chūru,42.28,overcast clouds,18,2.46
Chittorgarh,36.2,light rain,37,1.51
Chikkamagaluru,20.98,overcast clouds,92,4.41
Chidambaram,31.49,overcast clouds,56,7.2
Chhindwāra,30.35,broken clouds,62,3.68
Cherrapunjee,20.22,moderate rain,95,0.79
Chas,37.7,overcast clouds,36,4.53
Chanduasi,42.26,moderate rain,25,1.98
Yamunanagar,38.17,overcast clouds,33,5.1
Virār,30.95,overcast clouds,75,4.6
Vejalpur,34.22,broken clouds,53,4.68
Vasco,28.93,broken clouds,79,5.66
Vaniyambadi,32.17,broken clouds,45,7.52
Uppal Kalan,31.25,scattered clouds,55,2.57
Unnāo,30.95,broken clouds,26,2.45
Udupi,27.45,broken clouds,87,5.49
Udhampur,39.64,few clouds,15,3.97
Udgīr,32.46,scattered clouds,43,4.16
Tumakuru,24.89,overcast clouds,67,7.47
Thrissur,25.99,overcast clouds,89,1.93
Tonk,39.12,scattered clouds,33,1.18
Titagarh,32.97,haze,75,5.14
Tiruvottiyūr,35.48,broken clouds,55,6.23
Tiruvannamalai,35.23,overcast clouds,36,7.5
Thiruvarur,31.26,overcast clouds,62,4.49
Thānesar,44.1,overcast clouds,18,3.76
Tezpur,29.56,overcast clouds,83,1.47
Theni,27.72,overcast clouds,71,6.07
Thalassery,27.62,broken clouds,81,3.51
Tambaram,34.76,scattered clouds,59,5.14
Tādepallegūdem,36.15,broken clouds,67,4.45
Surendranagar,30.83,overcast clouds,64,4.51
Sultānpur,40.52,overcast clouds,30,1.99
Sūjāngarh,37.61,overcast clouds,30,7.69
Srikakulam,30.84,overcast clouds,67,6.58
Rajpur Sonarpur,32.98,scattered clouds,53,7.03
Arāria,35.94,overcast clouds,50,3.64
Anantnag,30.34,clear sky,28,2.35
Anand,33.99,overcast clouds,54,4.36
Amroha,40.53,broken clouds,29,4.7
Amreli,31.12,overcast clouds,64,5.91
Amravati,34.41,broken clouds,48,2.36
Ambur,32.74,broken clouds,43,7.31
Ambattur,35.36,scattered clouds,57,5.14
Ambāla,44.63,broken clouds,16,1.01
Ambarnath,29.78,overcast clouds,70,3.62
Amalner,34.03,broken clouds,50,3.62
Alappuzha,27.78,moderate rain,81,5.95
Akot,33.66,broken clouds,51,2.44
Adoni,29.34,overcast clouds,53,9.52
Adilabad,34.03,broken clouds,51,2.93
Mohali,41.97,scattered clouds,20,1.32
Singrauli,35.27,broken clouds,40,3.66
Jaigaon,29.27,overcast clouds,90,0.52
Lal Bahadur Nagar,31.17,scattered clouds,55,4.63
Malkajgiri,31.0,scattered clouds,55,2.57
Gajuwaka,33.07,haze,70,5.14
Quthbullapur,30.9,scattered clouds,55,2.57
Serilingampalle,30.85,scattered clouds,55,2.57
Ashoknagar Kalyangarh,32.95,overcast clouds,50,6.68
Greater Noida,34.12,overcast clouds,32,1.11
Panchkula,39.19,scattered clouds,26,4.02
Rohini,34.08,haze,52,3.09
Gadag-Betageri,25.59,overcast clouds,67,10.96
Komarapalayam,30.51,broken clouds,58,6.29
Deoli,33.94,haze,52,3.09
Phusro,37.04,overcast clouds,38,3.01
Kilakarai,31.47,overcast clouds,59,9.77
Bankra,32.99,haze,75,5.14
Contai,31.13,overcast clouds,71,7.32
Haldia,32.01,broken clouds,64,7.26
Sivaganga,30.23,overcast clouds,49,6.14
Siuri,36.06,overcast clouds,33,0.94
Sītāpur,40.86,light rain,28,1.46
Sītāmarhi,39.15,broken clouds,35,3.35
Sirsi,22.12,overcast clouds,97,4.59
Sirohi,30.58,overcast clouds,58,5.29
Sindhnūr,30.64,overcast clouds,53,8.48
Simdega,33.58,overcast clouds,46,3.65
Silvassa,30.34,overcast clouds,72,3.38
Sillod,29.5,heavy intensity rain,67,2.36
Sikandrabad,39.6,overcast clouds,31,0.91
Sihor,32.51,overcast clouds,59,5.94
Sidhi,37.11,overcast clouds,37,3.18
Siddipet,31.5,overcast clouds,53,2.23
Siddhapur,27.56,broken clouds,74,6.85
Sibsāgar,30.98,overcast clouds,76,1.33
Shirpur,34.14,broken clouds,50,2.47
Shirdi,31.73,broken clouds,56,3.11
Shikohabad,38.99,overcast clouds,34,2.38
Sherkot,40.99,broken clouds,27,1.25
Sheopur,34.15,moderate rain,51,5.56
Shegaon,34.18,moderate rain,51,2.48
Shāntipur,36.14,overcast clouds,45,5.33
Shamli,40.94,overcast clouds,28,5.56
Shājāpur,34.32,broken clouds,46,1.5
Shāhābād,41.13,moderate rain,28,6.38
Shāhābād,32.47,broken clouds,45,5.52
Sendhwa,31.17,broken clouds,57,1.99
Sehore,31.81,overcast clouds,49,1.19
Sattenapalle,33.26,broken clouds,53,3.31
Sangrur,44.99,scattered clouds,13,3.45
Sangāreddi,31.15,broken clouds,59,6.52
Sangamner,29.75,broken clouds,66,3.12
Sandīla,41.23,heavy intensity rain,27,4.31
Samāstipur,39.28,broken clouds,34,4.08
Sālūr,33.7,overcast clouds,55,2.41
Sāhibganj,37.87,overcast clouds,39,1.37
Sahaswān,43.13,broken clouds,23,0.75
Sagauli,40.38,broken clouds,32,2.74
Sadasivpet,29.47,broken clouds,58,6.47
Roha,28.48,overcast clouds,81,2.82
Robertsganj,36.59,moderate rain,37,1.85
Rishikesh,33.19,haze,58,3.09
Repalle,33.87,scattered clouds,63,5.61
Renukoot,36.02,light rain,39,3.51
Renigunta,28.97,light intensity drizzle,94,3.09
Rayachoti,32.83,overcast clouds,42,7.45
Raxaul,39.77,broken clouds,34,2.65
Rāth,40.87,scattered clouds,28,3.05
Rasipuram,31.46,overcast clouds,64,5.42
Ranipet,35.14,overcast clouds,37,8.17
Rānībennur,23.32,overcast clouds,82,8.38
Rānāghāt,35.95,overcast clouds,46,5.34
Rameswaram,28.82,overcast clouds,84,12.74
Closepet,28.38,overcast clouds,61,6.26
Rājsamand,35.57,overcast clouds,35,3.18
Rajpura,45.15,scattered clouds,14,2.95
Rāj-Nāndgaon,33.34,overcast clouds,53,4.68
Rājgarh,42.52,broken clouds,19,3.03
Rajaori,36.16,scattered clouds,20,3.64
Rāichūr,32.36,overcast clouds,46,6.6
Puttūr,27.01,overcast clouds,88,2.34
Burhānpur,32.03,broken clouds,62,1.04
Būndi,39.22,scattered clouds,32,2.95
Budhāna,38.6,light rain,33,5.51
Brajarajnagar,36.05,broken clouds,52,3.09
Botad,31.56,overcast clouds,65,5.66
Borsad,34.01,overcast clouds,57,3.9
Bolpur,36.21,broken clouds,38,5.13
Bodinayakkanur,26.16,overcast clouds,83,4.26
Bodhan,33.1,broken clouds,48,3.96
Bobbili,33.73,overcast clouds,53,4.58
Biswān,42.22,broken clouds,26,1.34
Bishnupur,38.13,broken clouds,38,5.67
Bisalpur,39.74,overcast clouds,30,2.92
Etāwa,37.5,broken clouds,36,2.06
Bihār Sharīf,39.68,broken clouds,32,3.56
Bhiwāni,41.09,overcast clouds,23,4.87
Bhawānipatna,34.65,broken clouds,46,1.8
Bhātāpāra,34.87,broken clouds,45,3.86
Bhandāra,32.01,scattered clouds,61,5.6
Bhadrak,37.1,overcast clouds,42,4.57
Betūl,29.11,overcast clouds,67,1.6
Bela,40.36,broken clouds,31,3.96
Basoda,36.51,broken clouds,39,1.17
Basmat,34.93,overcast clouds,48,1.77
Bāruni,38.25,overcast clouds,36,2.22
Baruipur,32.97,scattered clouds,54,7.06
Bāri,39.31,scattered clouds,33,2.63
Bārdoli,31.84,overcast clouds,63,3.48
Baraut,41.34,broken clouds,27,5.75
Bārān,36.22,scattered clouds,44,4.7
Bārāmati,30.19,broken clouds,59,7.77
Bāpatla,33.86,overcast clouds,65,1.67
Bānswāra,36.99,light rain,40,2.38
Bānkura,35.97,overcast clouds,34,1.83
Bangaon,38.53,overcast clouds,37,2.42
Balrāmpur,39.65,broken clouds,31,7.29
Balotra,37.77,overcast clouds,31,3.31
Ballarpur,32.65,broken clouds,60,3.77
Balāngīr,35.7,overcast clouds,43,2.37
Bālāghāt,33.01,overcast clouds,56,2.8
Budge Budge,32.98,broken clouds,55,6.88
